게시판코드,데이터코드,데이터코드,데이터그룹코드,데이터그룹명,게시판명,본문,조회수,공지여부,공개여부,시작일,종료일,전자정부코드,전자정부코드명,저작물분류코드,공모저작물등록일,기관코드,기관코드명
KOGL_005,A005,게시판,FAQ-9,FAQ,회원가입 시 중복되는 주민번호가 있다고 나옵니다.,"회원가입 시 주민등록번호가 중복된다고 나오는 경우는 이전에 가입한 사실이 있거나 일시적인 시스템 오류일 경우가 있습니다.만약 회원으로 가입하지 않았는데 본인의 주민등록번호가 사용되고 있다면 고객센터로 아래내용을 포함하여 메일을 보내주세요1. 고객명, 2.주민등록번호, 3.주민등록증 사본, 4.사유 Ex) 서비트 탈퇴, 아이디 확인 등",6,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-3,FAQ,공공기관 이용자는 회원 가입 후 승인을 받아야 하나요,공공기관 이용자는 공공누리 사이트에서 공공저작물 공공누리 등록 시 필요한 고유정보를 받아야 하므로 관리자의 승인이 필요합니다. 회원 가입 후 메일 또는 유선으로 연락주시면 확인 후 바로 승인해드립니다. ,1,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-8,FAQ,"비밀번호, 주소, e-mail주소를 변경하고 싶어요.","회원정보수정 페이지를 통하여, 비밀번호, 주소, e-mail, 주소등을 수정하실 수 있습니다.",2,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-10,FAQ,일반이용자도 회원 가입이 가능한가요,공공누리 사이트에서 일반이용자는 회원 가입 없이 모든 서비스 이용이 가능합니다. 회원 가입은 공공기관 이용자의 공공저작물공공누리등록을 위해 필요한 부분입니다. ,9,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-16,FAQ,회원가입 시 중복되는 주민번호가 있다고 나옵니다.,"회원가입 시 주민등록번호가 중복된다고 나오는 경우는 이전에 가입한 사실이 있거나, 일시적인 시스템 오류일 경우가 있습니다.만약 회원으로 가입하지 않았는데 본인의 주민등록번호가 사용되고 있다면 고객센터로 아래내용을 포함하여 메일 보내주세요.1. 고객명 2. 주민등록번호3. 주민등록증 사본4. 사유 (Ex: 서비스 탈퇴, 아이디 확인 등)",5,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-27,FAQ,개인정보취급방침이란 무엇인가요,개인정보보호법에 따라 개인정보를 처리하고 있는 공공기관의 개인정보 처리기준 및 보호조치 등을 문서화하여 공개하는 것을 말합니다.,4,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-25,FAQ,공공저작물 중 오프라인 콘텐츠는 공공누리 등록을 할 수 없나요,현재 공공누리 사이트는 온라인 페이지에서 제공하는 저작물에 한해 공공누리를 적용할 수 있도록 구축되어 있습니다. 오프라인의 경우 사이트에 제공하는 오프라인 적용방법 또는 공공누리 가이드라인 을 참조하시면 됩니다.,3,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-6,FAQ,동기관 이용자는 가입이 불가능한가요,아닙니다. 가입 가능합니다.동기관의 이용자일 경우 관리자 승인 시 같은 고유정보를 부여하여 공공저작물 공공누리 추가등록 및 변경이 가능합니다.,1,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-7,FAQ,개인정보 수정은 어디에서 가능한가요,"마이페이지회원 정보 수정에 들어가시면, 개인정보를 수정하실 수 있습니다.",3,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
KOGL_005,A005,게시판,FAQ-5,FAQ,공공기관 이용자 회원가입 시 입력사항은 무엇이 있나요,"기관명, 담당부서, 휴대폰 번호, 유선전화번호, 주소, 이메일 사항이 있습니다.",2,N,Y,2012-03-02,2012-03-02,40250306,한국문화정보원,doc,2012-03-02,40250306,한국문화정보원
